Event ID,weapdetail
182,Rockets were used in the attack.
183,Rockets were used in the attack.
184,
185,
186,
187,
188,
189,A missile was used in the attack.
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,A roadside bomb was used in the attack.
200,
201,
202,An assault rifle was used in the attack.
203,
204,
205,
206,
207,
208,A radio-detonated 10-kilogram explosive device concealed in a steel box and firearms were used in the attack.
209,An explosives-laden water truck was used in the attack.
210,
211,Light arms and a homemade pellet gun were used in the attack.
212,
213,An explosives-laden Toyota Land Cruiser was used in the attack.
214,Mortars were used in the attack.
215,A mortar was used in the attack.
216,
217,
218,
219,A knife was used in the attack.
220,
221,Firearms and machetes were used in the attack.
222,Rocket-propelled grenades (RPGs) were used in the attack.
223,A semiautomatic pistol was used in the attack.
224,A cleaver and a fake explosives-laden belt were used in the attack.
225,Katyusha rockets were used in the attack.
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,A roadside bomb was used in the attack.
236,
237,
238,A missile was used in the attack.
239,Mortars and rockets were used in the attack.
240,Diesel was used in the attack.
241,"A rudimentary explosive device planted inside an envelope and consisting of batteries, fertilizer, and rusty nails was used in the attack."
242,An explosives-laden ambulance was used in the attack.
243,
244,
245,
246,
247,A pellet gun and knives were used in the attack.
248,
249,
250,A roadside bomb was used in the attack.
251,
252,
253,
254,Wooden sticks and metal objects were used in the attack.
255,A remote-controlled landmine was used in the attack.
256,
257,A remote-controlled roadside bomb was used in the attack.
258,A remote-controlled explosives-laden gas cylinder was used in the attack.
259,
260,Shells were used in the attack.
261,
262,
263,
264,Multiple roadside landmines were used in the attack.
265,
266,
267,An explosive device hidden in a shopping bag was used in the attack.
268,
269,
270,A remote-controlled roadside landmine was used in the attack.
271,
272,
273,A roadside landmine was used in the attack.
274,A roadside landmine was used in the attack.
275,
276,Three rockets were used in the attack.
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,A roadside bomb was used in the attack.
287,Molotov cocktails were used in the attack.
288,A roadside landmine was used in the attack.
289,
290,
291,
292,Pepper spray was used in the attack.
293,
294,A roadside bomb was used in the attack.
295,
296,A pistol equipped with a silencer was used in the attack.
297,
298,
299,
300,
301,
302,
303,
304,
305,A roadside bomb was used in the attack.
306,
307,
308,
309,A roadside bomb was used in the attack.
310,Rockets were used in the attack.
311,
312,A roadside landmine was used in the attack.
313,
314,An explosive device and rifles were used in the attack.
315,A country-made explosive device and two kerosene-filled bottles were used in the attack.
316,Country-made bombs and kerosene-filled bottles were used in the attack.
317,
318,An explosives-laden house was used in the attack.
319,Three explosives-laden belts were used in the attack.
320,An explosives-laden belt was used in the attack.
321,Gasoline was used in the attack.
322,A ten-kilogram explosive device concealed in a tiffin box was used in the attack.
323,
324,
325,A pistol was used in the attack.
326,Several 23-mm guns were used in the attack.
327,A roadside bomb was used in the attack.
328,
329,A mortar was used in the attack.
330,Mortars were used in the attack.
331,
332,A roadside bomb was used in the attack.
333,
334,Three mortars were used in the attack.
335,
336,A homemade explosive device hidden in a cardboard box containing blasting caps and a cell phone was used in the attack.
337,A .45-caliber pistol was used in the attack.
338,
339,
340,A 27-cm knife and a fake pistol were used in the attack.
341,A rocket was used in the attack.
342,A machete was used in the attack.
343,
344,Two explosives-laden vests were used in the attack.
345,"An explosives-laden vehicle, explosives-laden vests, and automatic firearms were used in the attack."
346,An explosives-laden vest was used in the attack.
347,
348,
349,
350,A roadside bomb was used in the attack.
351,Mortars and rockets were used in the attack.
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,A mortar was used in the attack.
396,
397,
398,
399,
400,An explosives-laden house was used in the attack.
401,An explosives-laden house was used in the attack.
402,
403,
404,
405,
406,An eight-kilogram homemade roadside bomb was used in the attack.
407,
408,
409,
410,
411,A roadside bomb was used in the attack.
412,
413,
414,
415,Kalashnikovs were used in the attack.
416,
417,
418,At least one country-made explosive device and two petrol bombs were used in the attack.
419,
420,Petrol bombs were used in the attack.
421,Petrol bombs were used in the attack.
422,Petrol bombs were used in the attack.
423,Petrol bombs were used in the attack.
424,Petrol bombs were used in the attack.
425,Petrol bombs were used in the attack.
426,Petrol bombs were used in the attack.
427,
428,
429,A roadside bomb was used in the attack.
430,
431,
432,
433,
434,Three explosive devices were used in the attack.
435,
436,An explosives-laden jacket and firearms were used in the attack.
437,
438,An explosives-laden jacket containing seven to ten kilograms of explosive material was used in the attack.
439,A walkie-talkie-controlled explosives-laden metal box was used in the attack.
440,Grenades and 9-mm pistols were used in the attack.
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,Katyusha rockets were used in the attack.
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,A roadside landmine was used in the attack.
466,
467,A roadside bomb was used in the attack.
468,
469,
470,A crude explosive device was used in the attack.
471,A country bomb in a tiffin box was used in the attack.
472,A firebomb was used in the attack.
473,Two homemade explosive devices planted inside a Toyota Corolla vehicle were used in the attack.
474,A low-yield homemade explosives-laden belt was used in the attack.
475,Two low-yield homemade explosives-laden belts were used in the attack.
476,Homemade explosive devices and pistols were used in the attack.
477,
478,A roadside bomb was used in the attack.
479,
480,"An explosives-laden truck, rocket launchers, and long-range rifles were used in the attack."
481,Rocket launchers were used in the attack.
482,
483,
484,
485,
486,"Three explosive devices, including two constructed from 60-mm mortars and utilizing a mobile phone trigger, were used in the attack."
487,
488,
489,
490,
491,
492,Three locally-made roadside bombs were used in the attack.
493,At least two explosives-laden vehicles were used in the attack.
494,
495,
496,
497,
498,
499,Two explosives-laden vehicles were used in the attack.
500,Three Katyusha rockets were used in the attack.
501,A Molotov cocktail and a knife were used in the attack.
502,
503,Half a kilogram of explosives with nails concealed in a bottle on a rickshaw was used in the attack.
504,
505,
506,
507,A roadside bomb was used in the attack.
508,A knife and sticks were used in the attack.
509,
510,A roadside bomb was used in the attack.
511,
512,
513,
514,"Explosive devices, AK-47 assault rifles, and fire were used in the attack."
515,"Grenades, other explosive devices, and AK-47 assault rifles were used in the attack."
516,
517,"An explosives-laden vehicle, multiple explosives-laden vests, rocket-propelled grenades (RPGs), and firearms were used in the attack."
518,
519,
520,AK-47 assault rifles were used in the attack.
521,
522,
523,
524,
525,
526,A timed explosive device containing a 12-volt battery and concealed in a blue polythene bag was used in the attack.
527,
528,"Grenades, other explosive devices, and AK-47 assault rifles were used in the attack."
529,
530,
531,
532,
533,A rocket was used in the attack.
534,
535,
536,
537,A roadside bomb was used in the attack.
538,
539,
540,
541,
542,
543,
544,A five-kilogram explosives-laden gas cylinder was used in the attack.
545,
546,
547,A roadside bomb and firearms were used in the attack.
548,
549,
550,
551,
552,
553,
554,
555,An M4 assault rifle was used in the attack.
556,
557,
558,
559,
560,
561,
562,Thrown grenades were used in the attack.
563,AK-47 assault rifles were used in the attack.
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,Several mortars were used in the attack.
576,Mortars were used in the attack.
577,Mortars were used in the attack.
578,
579,
580,Rope was used in the attack.
581,
582,
583,
584,
585,A roadside landmine was used in the attack.
586,Two pistols were used in the attack.
587,
588,
589,A 9-mm pistol was used in the attack.
590,
591,Molotov cocktails were used in the attack.
592,
593,A steel bomb was used in the attack.
594,
595,A three-kilogram explosive device concealed in a shopping bag was used in the attack.
596,
597,
598,A .45-caliber pistol was used in the attack.
599,
600,
601,
602,
603,Two petrol bombs were used in the attack.
604,A roadside bomb and firearms were used in the attack.
605,
606,Six explosive devices were used in the attack.
607,A roadside bomb was used in the attack.
608,
609,
610,
611,A landmine placed in a house was used in the attack.
612,A 17-kilogram homemade roadside bomb was used in the attack.
613,
614,
615,Two rockets were used in the attack.
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,Rocket launchers and rifles were used in the attack.
626,A rocket launcher was used in the attack.
627,
628,
629,
630,A roadside antitank landmine was used in the attack.
631,
632,Sniper rifles were used in the attack.
633,A homemade explosive device was used in the attack.
634,Assault rifles were used in the attack.
635,A machine gun was used in the attack.
636,
637,
638,A roadside bomb was used in the attack.
639,A roadside bomb was used in the attack.
640,
641,
642,A roadside bomb was used in the attack.
643,Two country-made explosive devices planted inside a parcel were used in the attack.
644,
645,
646,
647,
648,
649,"Three explosive devices weighing 22 kilograms, 20 kilograms, and three kilograms were used in the attack."
650,
651,A steel helmet was used in the attack.
652,Homemade explosive devices were used in the attack.
653,
654,A remote-controlled roadside bomb was used in the attack.
655,
656,
657,
658,
659,A thrown explosive device was used in the attack.
660,
661,
662,
663,
664,
665,
666,Rockets were used in the attack.
667,A sniper rifle was used in the attack.
668,
669,
670,
671,A rocket was used in the attack.
672,
673,
674,
675,
676,
677,
678,A 0.32 bore pistol was used in the attack.
679,
680,
681,
682,
683,
684,
685,
686,
687,
688,Rifles were used in the attack.
689,An explosives-laden motorcycle was used in the attack.
690,Five Grad missiles were used in the attack.
691,
692,A sniper rifle was used in the attack.
693,Two explosives-laden belts were used in the attack.
694,
695,
696,
697,
698,More than 20 explosive devices were used in the attack.
699,
700,
701,
702,
703,A roadside bomb was used in the attack.
704,
705,
706,
707,
708,A grenade concealed inside a toy was used in the attack.
709,A roadside bomb was used in the attack.
710,
711,A rocket was used in the attack.
712,A petrol bomb was used in the attack.
713,
714,A roadside landmine was used in the attack.
715,A 30-kilogram can bomb was used in the attack.
716,"Explosives-laden vests, grenades, and Kalashnikovs were used in the attack."
717,
718,
719,A 20-kilogram explosive device was used in the attack.
720,
721,Mortars were used in the attack.
722,"Explosive devices consisting of nine detonators, three packets of highly explosive material weighing 125 grams each, and three fuses were used in the attack."
723,
724,
725,
726,Two AK-47 assault rifles were used in the attack.
727,
728,Three explosives-laden vests were used in the attack.
729,
730,An AK-47 assault rifle was used in the attack.
731,
732,
733,
734,A roadside bomb was used in the attack.
735,
736,
737,
738,
739,
740,
741,
742,A petrol bomb was used in the attack.
743,A petrol bomb was used in the attack.
744,
745,
746,Rockets were used in the attack.
747,
748,
749,
750,Rocket-propelled grenades (RPGs) were used in the attack.
751,A timed explosives-laden house was used in the attack.
752,
753,A roadside bomb was used in the attack.
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,A country-made explosive device planted inside a wooden box was used in the attack.
764,
765,
766,
767,Two explosive devices were used in the attack.
768,Two explosive devices were used in the attack.
769,Five grenades were used in the attack.
770,
771,
772,
773,Four explosive devices fitted in a pressure cooker and attached with a LPG cylinder were used in the attack.
774,
775,
776,
777,
778,"Petrol bombs, knives, and batons were used in the attack."
779,An unspecified number of landmines and roadside bombs were used in the attack.
780,An unspecified number of landmines and roadside bombs were used in the attack.
781,An unspecified number of landmines and roadside bombs were used in the attack.
782,An unspecified number of landmines and roadside bombs were used in the attack.
783,An unspecified number of landmines and roadside bombs were used in the attack.
784,
785,A remote-controlled roadside landmine was used in the attack.
786,A rocket was used in the attack.
787,A remote-controlled explosive device weighing between three and four kilograms was used in the attack.
788,Firearms and machetes were used in the attack.
789,
790,
791,
792,A homemade explosive device was used in the attack.
793,Rocket-propelled grenades (RPGs) were used in the attack.
794,
795,
796,
797,
798,
799,
800,
801,A mortar was used in the attack.
802,
803,
804,Shotguns utilizing birdshot ammunition were used in the attack.
805,
806,
807,
808,
809,
810,Rocket-propelled grenades (RPGs) were used in the attack.
811,
812,
813,
814,
815,A ten-kilogram roadside bomb was used in the attack.
816,
817,
818,A .45-caliber pistol was used in the attack.
819,
820,
821,
822,
823,Three explosives-laden vehicles were used in the attack.
824,Two explosive devices were used in the attack.
825,
826,Explosives-laden trucks and mortars were used in the attack.
827,
828,
829,
830,
831,A Katyusha rocket was used in the attack.
832,
833,
834,
835,Assault rifles were used in the attack.
836,
837,
838,
839,
840,A three-kilogram remote-controlled roadside bomb planted on a pushcart was used in the attack.
841,
842,
843,
844,
845,
846,
847,A roadside bomb was used in the attack.
848,
849,
850,
851,"Two five-kilogram explosive devices, including one planted inside a steel container, were used in the attack."
852,An explosive device concealed in a backpack was used in the attack.
853,
854,
855,
856,
857,
858,
859,
860,
861,
862,
863,
864,
865,
866,
867,
868,
869,
870,
871,
872,A bag full of explosives was used in the attack.
873,
874,
875,
876,
877,
878,
879,
880,
881,
882,Firearms and poison were used in the attack.
883,
884,
885,
886,
887,
888,
889,
890,Three pipe bombs and knives were used in the attack.
891,
892,
893,
894,
895,
896,
897,Mortars were used in the attack.
898,Mortars were used in the attack.
899,
900,
901,
902,
903,A roadside bomb was used in the attack.
904,
905,Numerous petrol bombs were used in the attack.
906,A .45-caliber pistol was used in the attack.
907,Two one-kilogram can bombs were used in the attack.
908,Sixty-one explosive devices were used in this and three other similar attacks.
909,Sixty-one explosive devices were used in this and three other similar attacks.
910,Sixty-one explosive devices were used in this and three other similar attacks.
911,Five explosive devices were used in the attack.
912,Six explosive devices were used in the attack.
913,
914,A roadside bomb was used in the attack.
915,
916,
917,
918,
919,
920,Explosives-laden vests and firearms were used in the attack.
921,A roadside bomb was used in the attack.
922,
923,
924,An explosives-laden belt was used in the attack.
925,
926,
927,
928,A rocket was used in the attack.
929,
930,A remote-controlled explosive device containing 200 grams of TNT and utilizing a cellphone as a triggering mechanism was used in the attack.
931,A Russian-made hand grenade was used in the attack.
932,A 45-50-kilogram timed explosive device concealed in a bag and attached to a mobile set was used in the attack.
933,An explosive device concealed in a trash can was used in the attack.
934,
935,
936,
937,
938,
939,
940,
941,
942,
943,A roadside bomb was used in the attack.
944,
945,Six explosives-laden belts were used in the attack.
946,A pressure cooker containing five kilograms of explosives was used in the attack.
947,A fragmentation grenade was used in the attack.
948,
949,
950,
951,Several explosives-laden vehicles were used in the attack.
952,Twelve explosives-laden vehicles were used in the attack.
953,
954,
955,
956,
957,
958,
959,A roadside bomb was used in the attack.
960,
961,
962,
963,Machine guns were used in the attack.
964,
965,A homemade roadside bomb was used in the attack.
966,
967,Rocket launchers and sniper rifles were used in the attack.
968,"Two landmines between 10 and 12 kilograms in weight, including one placed inside a tiffin box, were used in the attack."
969,
970,
971,A remote-controlled roadside landmine was used in the attack.
972,AK-47 assault rifles were used in the attack.
973,
974,
975,
976,
977,
978,
979,
980,Explosives-laden vests were used in the attack.
981,
982,A .45-caliber pistol was used in the attack.
983,
984,
985,
986,
987,
988,
989,
990,Four explosives-laden vehicles were used in the attack.
991,
992,A roadside landmine was used in the attack.
993,
994,
995,
996,
997,
998,Multiple 9-mm pistols were used in the attack.
999,
1000,Roadside bombs were used in the attack.
1001,
1002,Artillery was used in the attack.
1003,
1004,
1005,A homemade explosive device consisting of a canister containing 20 kilograms of explosives was used in the attack.
1006,A remote-controlled roadside bomb was used in the attack.
1007,
1008,A roadside landmine was used in the attack.
1009,
1010,
1011,
1012,
1013,
1014,A half-kilogram timed explosive device consisting of a watch and wires and concealed in a polythene bag was used in the attack.
1015,
1016,
1017,An explosive device planted on a Kia bus was used in the attack.
1018,
1019,
1020,A roadside bomb was used in the attack.
1021,
1022,"Twenty explosives-laden vehicles, including one which contained chlorine gas, were used in the attack."
1023,"Firearms, a sharp object, and sticks were used in the attack."
1024,
1025,
1026,
1027,
1028,
1029,
1030,AK-series assault rifles were used in the attack.
1031,
1032,
1033,
1034,
1035,
1036,"An explosive device containing a 60-millimeter mortar shell, an MK-2 grenade, gasoline, blasting caps, and a mobile phone was used in the attack."
1037,Machine guns were used in the attack.
1038,
1039,A sniper rifle was used in the attack.
1040,
1041,
1042,
1043,Pistols were used in the attack.
1044,
1045,"Grenades, another explosive device,  a Kalashnikov, and three pistols were used in the attack."
1046,
1047,
1048,
1049,
1050,
1051,Two explosives-laden trucks were used in the attack.
1052,
1053,
1054,
1055,"A homemade explosive device weighing between 250 and 500 grams, planted inside a plastic bottle, and containing nails was used in the attack."
1056,A locally-made cracker bomb was used in the attack.
1057,
1058,
1059,
1060,
1061,
1062,
1063,Two homemade explosive devices were used in the attack.
1064,Two explosive devices were used in the attack.
1065,
1066,An explosives-laden vehicle and an explosives-laden vest were used in the attack.
1067,Makeshift petrol bombs were used in the attack.
1068,
1069,
1070,
1071,
1072,
1073,
1074,
1075,
1076,"Three explosives-laden vests, other explosive devices, firearms, and petrol bombs were used in the attack."
1077,
1078,
1079,
1080,A roadside landmine was used in the attack.
1081,Three explosive devices were used in the attack.
1082,
1083,
1084,
1085,
1086,
1087,
1088,
1089,
1090,
1091,
1092,A roadside landmine was used in the attack.
1093,
1094,
1095,An unspecified number of landmines and roadside bombs were used in the attack.
1096,An unspecified number of landmines and roadside bombs were used in the attack.
1097,An unspecified number of landmines and roadside bombs were used in the attack.
1098,An unspecified number of landmines and roadside bombs were used in the attack.
1099,
1100,A roadside landmine was used in the attack.
1101,An explosives-laden police vehicle was used in the attack.
1102,
1103,A roadside bomb was used in the attack.
1104,Rockets were used in the attack.
1105,
1106,
1107,
1108,Katyusha rockets and heavy artillery were used in the attack.
1109,Artillery shells were used in the attack.
1110,Artillery shells were used in the attack.
1111,Artillery shells were used in the attack.
1112,Artillery shells were used in the attack.
1113,Artillery shells were used in the attack.
1114,
1115,Two explosives-laden belts were used in the attack.
1116,
1117,
1118,An explosives-laden motorcycle was used in the attack.
1119,Two explosives-laden belts were used in the attack.
1120,
1121,
1122,
1123,
1124,
1125,A remote-controlled roadside bomb was used in the attack.
1126,
1127,
1128,
1129,
1130,
1131,
1132,
1133,Molotov cocktails were used in the attack.
1134,Molotov cocktails were used in the attack.
1135,
1136,
1137,
1138,An explosives-laden vehicle and 41 other explosive devices were used in the attack.
1139,At least four explosive devices were used in the attack.
1140,A one-kilogram roadside bomb with 11 detonators was used in the attack.
1141,
1142,
1143,
1144,
1145,Rocket launchers were used in the attack.
1146,
1147,
1148,
1149,
1150,
1151,A rocket was used in the attack.
1152,
1153,
1154,
1155,
1156,Two explosives-laden belts were used in the attack.
1157,Sniper rifles were used in the attack.
1158,
1159,
1160,
1161,An explosives-laden vest was used in the attack.
1162,A landmine planted inside a pressure cooker was used in the attack.
1163,"Grenades, submachine guns, and pistols were used in the attack."
1164,
1165,
1166,
1167,
1168,
1169,
1170,
1171,A roadside bomb was used in the attack.
1172,
1173,"Explosives-laden trucks, mortars, rockets, and heavy machine guns were used in the attack."
1174,
1175,Two roadside bombs were used in the attack.
1176,Mortars were used in the attack.
1177,
1178,
1179,Sixty-one explosive devices were used in this and three other similar attacks.
1180,
1181,Rocks were used in the attack.
1182,
1183,
1184,"Explosive devices, firearms, and petrol bombs were used in the attack."
1185,
1186,
1187,
1188,A magnetic explosive device attached to a vehicle was used in the attack.
1189,
1190,
1191,
1192,
1193,Two grenades were used in the attack.
1194,A roadside bomb was used in the attack.
1195,An eight-kilogram explosive device was used in the attack.
1196,
1197,
1198,
1199,
1200,An explosive device comprised of nails and iron and concealed in a Toyota car was used in the attack.
1201,
1202,
1203,A roadside landmine was used in the attack.
1204,
1205,
1206,A roadside bomb was used in the attack.
1207,
1208,A roadside bomb was used in the attack.
1209,A roadside bomb was used in the attack.
1210,
1211,
1212,
1213,A Katyusha rocket was used in the attack.
1214,
1215,An explosives-laden laptop containing TNT was used in the attack.
1216,
1217,A TOW missile was used in the attack.
1218,
1219,
1220,
1221,
1222,
1223,
1224,
1225,
1226,
1227,
1228,Three explosives-laden vehicles were used in the attack.
1229,
1230,
1231,A handgun and a long-barreled rifle were used in the attack.
1232,
1233,
1234,
1235,
1236,A landmine and firearms were used in the attack.
1237,Machine saws were used in the attack.
1238,
1239,"Two pipe bombs, three automatic rifles, and knives were used in the attack."
1240,
1241,
1242,
1243,
1244,
1245,A magnetic explosive device was used in the attack.
1246,
1247,
1248,
1249,
1250,
1251,Two explosive devices were used in the attack.
1252,Rifles were used in the attack.
1253,
1254,
1255,
1256,
1257,
1258,
1259,
1260,
1261,A sniper rifle was used in the attack.
1262,Mortars were used in the attack.
1263,
1264,
1265,
1266,Multiple explosive devices weighing five kilograms and kept in steel containers were used in the attack.
1267,
1268,Artillery shells were used in the attack.
1269,
1270,An explosives-laden house was used in the attack.
1271,An explosives-laden house was used in the attack.
1272,An explosives-laden house was used in the attack.
1273,An explosives laden house was used in the attack.
1274,An explosives-laden house was used in the attack.
1275,An explosives-laden house was used in the attack.
1276,An explosives-laden house was used in the attack.
1277,Twenty-five explosives-laden tankers and 15 other explosive devices were used in the attack.
1278,Sixteen roadside bombs were used in the attack.
1279,A 9-mm automatic firearm was used in the attack.
1280,A six-kilogram remote-controlled explosive device was used in the attack.
1281,A four-kilogram explosive device planted in a plastic bucket was used in the attack.
1282,
1283,
1284,
1285,Mortars were used in the attack.
1286,Mortars were used in the attack.
1287,
1288,
1289,
1290,
1291,
1292,
1293,
1294,
1295,
1296,Rifles were used in the attack.
1297,Shells and sniper rifles were used in the attack.
1298,A 9-mm automatic firearm was used in the attack.
1299,A jerry can filled with flammable liquid was used in the attack.
1300,A roadside bomb was used in the attack.
1301,An explosive device containing two 81-millimeter mortar rounds was used in the attack.
1302,
1303,
1304,A roadside landmine was used in the attack.
1305,
1306,
1307,Two explosives-laden motorcycles were used in the attack.
1308,Rocket-propelled grenades (RPGs) were used in the attack.
1309,
1310,
1311,Two homemade roadside bombs were used in the attack.
1312,
1313,
1314,
1315,
1316,A roadside bomb was used in the attack.
1317,
1318,Two kitchen knives were used in the attack.
1319,A roadside bomb was used in the attack.
1320,
1321,A pistol was used in the attack.
1322,
1323,"An explosive device consisting of firecrackers, a motorcycle battery, and parts from a mobile charger was used in the attack."
1324,Multiple petrol bombs were used in the attack.
1325,Two Molotov cocktails were used in the attack.
1326,A stun grenade was used in the attack.
1327,An explosive device planted inside a package was used in the attack.
1328,
1329,
1330,A 15-kilogram explosive device was used in the attack.
1331,
1332,
1333,A rocket was used in the attack.
1334,Wooden sticks were used in the attack.
1335,
1336,Sticks were used in the attack.
1337,An explosive device and multiple .50-caliber Barret sniper rifles were used in the attack.
1338,
1339,
1340,Eight explosives-laden belts and 50 Katyusha rockets were used in the attack.
1341,
1342,
1343,
1344,An explosives-laden excavator was used in the attack.
1345,A sniper rifle was used in the attack.
1346,
1347,"An explosives-laden vehicle, mortars, and firearms were used in the attack."
1348,
1349,
1350,
1351,
1352,An explosive device planted inside a cylinder and concealed in a package was used in the attack.
1353,
1354,AK-47 assault rifles and handguns were used in the attack.
1355,A remote-controlled explosive device weighing between four and six kilograms and attached to a bicycle was used in the attack.
1356,
1357,
1358,An explosives-laden armored vehicle was used in the attack.
1359,
1360,AK-47 assault rifles were used in the attack.
1361,
1362,
1363,
1364,
1365,
1366,A pipe bomb rocket was used in the attack.
1367,A Molotov cocktail was used in the attack.
1368,A handmade explosive device was used in the attack.
1369,
1370,
1371,A fragmentation grenade was used in the attack.
1372,
1373,Molotov cocktails were used in the attack.
1374,Molotov cocktails were used in the attack.
1375,
1376,Two Molotov cocktails were used in the attack.
1377,A ten-kilogram explosive device was used in the attack.
1378,An M16 assault rifle was used in the attack.
1379,
1380,
1381,
1382,Rocket-propelled grenades (RPGs) and .50-caliber machine guns were used in the attack.
1383,Two explosives-laden vehicles were used in the attack.
1384,An explosives-laden house was used in the attack.
1385,An explosives-laden house was used in the attack.
1386,An explosives-laden house was used in the attack.
1387,An explosives-laden house was used in the attack.
1388,An explosives-laden house was used in the attack.
1389,An explosives-laden house was used in the attack.
1390,An explosives-laden house was used in the attack.
1391,An explosives-laden house was used in the attack.
1392,An explosives-laden house was used in the attack.
1393,An explosives-laden house was used in the attack.
1394,An explosives-laden house was used in the attack.
1395,An explosives-laden house was used in the attack.
1396,An explosives-laden house was used in the attack.
1397,An explosives-laden house was used in the attack.
1398,An explosives-laden house was used in the attack.
1399,An explosives-laden house was used in the attack.
1400,An explosives-laden house was used in the attack.
1401,An explosives-laden house was used in the attack.
1402,Explosives-laden trucks and firearms were used in the attack.
1403,Mortars were used in the attack.
1404,
1405,
1406,
1407,
1408,
1409,
1410,Three grenades were used in the attack.
1411,
1412,
1413,
1414,
1415,Two explosives-laden trucks were used in the attack.
1416,An explosives-laden house was used in the attack.
1417,Explosives-laden vehicles and firearms were used in the attack.
1418,Explosives-laden vehicles and firearms were used in the attack.
1419,
1420,
1421,
1422,
1423,
1424,A .45-caliber pistol was used in the attack.
1425,
1426,
1427,
1428,
1429,
